0x18a44L,3,0,1,0,17,2,1,0,2,1,0,0,1,0,13,
0x18a8cL,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,
0x18a94L,1,0,2,0,7,0,0,0,0,0,1,0,2,0,4,
0x18ab0L,2,0,2,0,9,0,1,0,0,1,0,0,2,0,6,
0x18ad4L,1,0,1,0,5,0,0,0,0,1,1,0,1,0,2,
0x18ae8L,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
0x18aecL,1,0,2,0,6,1,0,0,1,0,1,0,2,0,2,
0x18b04L,1,0,0,0,9,1,0,0,1,0,0,0,0,1,7,
0x18b28L,1,0,1,0,2,0,0,0,0,0,0,0,1,0,1,
0x18b30L,2,0,2,0,15,0,1,0,0,1,0,0,2,0,12,
0x18b6cL,1,0,1,0,4,0,2,0,0,2,0,0,1,0,1,
0x18b7cL,0,0,1,0,4,0,1,0,0,1,1,0,1,0,1,
0x18b8cL,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
0x18b90L,0,0,2,0,5,0,0,0,0,0,0,0,2,0,3,
0x18ba4L,2,0,0,0,12,1,0,0,1,0,0,0,0,1,10,
0x18bd4L,1,0,1,0,4,0,2,0,0,2,0,0,1,0,1,
0x18be4L,0,0,1,0,4,0,1,0,0,1,1,0,1,0,1,
0x18bf4L,1,0,1,0,2,0,0,0,0,0,0,0,0,1,1,
0x18bfcL,0,0,1,0,3,0,0,0,0,0,0,0,0,1,2,
