0x1e3ccL,4,0,2,0,21,3,0,0,3,0,0,0,2,0,16,
0x1e424L,1,0,1,0,4,0,0,0,0,0,0,0,1,0,3,
0x1e434L,0,0,1,0,4,0,0,0,0,0,0,0,1,0,3,
0x1e444L,5,0,1,0,9,0,0,0,0,0,0,0,1,0,8,
0x1e468L,2,0,1,0,6,0,0,0,0,0,0,0,1,0,5,
0x1e480L,1,0,0,0,6,1,0,0,1,0,0,0,0,1,4,
0x1e498L,4,0,2,0,9,0,0,0,0,0,0,0,1,1,7,
0x1e4bcL,1,0,0,0,7,1,0,0,1,0,0,0,0,1,5,
0x1e4d8L,1,0,2,0,6,1,0,0,1,0,0,0,2,0,3,
0x1e4f0L,1,0,1,0,4,0,0,0,0,0,1,0,1,0,2,
0x1e500L,1,0,1,0,2,0,0,0,0,0,0,0,1,0,1,
0x1e508L,2,0,2,0,10,2,0,0,2,0,0,0,1,1,6,
0x1e530L,5,0,2,0,9,2,0,0,2,0,0,0,1,1,5,
0x1e554L,5,0,2,0,10,0,0,0,0,0,0,0,1,1,8,
0x1e57cL,1,0,1,0,2,0,0,0,0,0,0,0,1,0,1,
0x1e584L,2,0,2,0,10,2,0,0,2,0,0,0,1,1,6,
0x1e5acL,5,0,2,0,9,2,0,0,2,0,0,0,1,1,5,
